Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,10,na,na,18.983050847457626,0.0,0.19935383714254104
OSC,BDF,0.001,1e-06,10,na,na,19.406779661016948,0.0,0.199561605443214
OSC,BDF,0.001,1e-06,10,na,na,19.83050847457627,0.0,0.1991095034307632
OSC,BDF,0.001,1e-06,10,na,na,20.25423728813559,0.0,0.1992507356662479
OSC,BDF,0.001,1e-06,10,na,na,20.677966101694913,0.0,0.2015131861428176
OSC,BDF,0.001,1e-06,10,na,na,21.101694915254235,0.0,0.2014896416942021
OSC,BDF,0.001,1e-06,10,na,na,21.525423728813557,0.0,0.20352213036762573
OSC,BDF,0.001,1e-06,10,na,na,21.94915254237288,0.0,0.2060226699683572
OSC,BDF,0.001,1e-06,10,na,na,22.372881355932197,0.0,0.2080617097493156
OSC,BDF,0.001,1e-06,10,na,na,22.79661016949153,0.0,0.2070831353038715
OSC,BDF,0.001,1e-06,10,na,na,23.22033898305085,0.0,0.20898649801932226
OSC,BDF,0.001,1e-06,10,na,na,23.644067796610173,0.0,0.207641079174974
OSC,BDF,0.001,1e-06,10,na,na,24.067796610169488,0.0,0.21009579542082527
OSC,BDF,0.001,1e-06,10,na,na,24.49152542372881,0.0,0.2103286481797952
OSC,BDF,0.001,1e-06,10,na,na,24.915254237288128,0.0,0.2102355503941329
OSC,BDF,0.001,1e-06,10,na,na,25.33898305084745,0.0,0.21132792992945693
OSC,BDF,0.001,1e-06,10,na,na,25.762711864406786,0.0,0.20847913521139788
OSC,BDF,0.001,1e-06,10,na,na,26.186440677966104,0.0,0.21238501436218246
OSC,BDF,0.001,1e-06,10,na,na,26.610169491525426,0.0,0.212865548076476
OSC,BDF,0.001,1e-06,10,na,na,27.033898305084747,0.0,0.21203905811049745
OSC,BDF,0.001,1e-06,10,na,na,27.457627118644066,0.0,0.21376655056515445
OSC,BDF,0.001,1e-06,10,na,na,27.881355932203395,0.0,0.2139248607627912
OSC,BDF,0.001,1e-06,10,na,na,28.30508474576271,0.0,0.21503265457392529
OSC,BDF,0.001,1e-06,10,na,na,28.728813559322035,0.0,0.2144294405171505
OSC,BDF,0.001,1e-06,10,na,na,29.15254237288136,0.0,0.2133611801424969
OSC,BDF,0.001,1e-06,10,na,na,29.576271186440678,0.0,0.21617778422468187
OSC,BDF,0.001,1e-06,10,na,na,30.0,0.0,0.21511940851583444
OSC,BDF,0.001,1e-06,5,na,na,1.0,0.0,0.3186164564325058
OSC,BDF,0.001,1e-06,5,na,na,1.0677966101694916,0.0,0.2876668207750225
OSC,BDF,0.001,1e-06,5,na,na,1.1355932203389831,0.0,0.2662077350657093
OSC,BDF,0.001,1e-06,5,na,na,1.2033898305084745,0.0,0.2781470533119672
OSC,BDF,0.001,1e-06,5,na,na,1.2711864406779658,0.0,0.3137438602554729
OSC,BDF,0.001,1e-06,5,na,na,1.3389830508474576,0.0,0.3386856478229498
OSC,BDF,0.001,1e-06,5,na,na,1.4067796610169492,0.0,0.3399188987558715
OSC,BDF,0.001,1e-06,5,na,na,1.4745762711864407,0.0,0.32097452641091856
OSC,BDF,0.001,1e-06,5,na,na,1.542372881355932,0.0,0.2836544186726775
OSC,BDF,0.001,1e-06,5,na,na,1.610169491525424,0.0,0.2453812757095913
OSC,BDF,0.001,1e-06,5,na,na,1.6779661016949152,0.0,0.22340041799844967
OSC,BDF,0.001,1e-06,5,na,na,1.7457627118644068,0.0,0.21413441296121408
OSC,BDF,0.001,1e-06,5,na,na,1.8135593220338984,0.0,0.2091500372484415
